Max,Min,Mean
0.62,0.5,0.5690322580645162
0.6,0.48,0.552258064516129
0.6,0.48,0.5512903225806451
0.61,0.48,0.5574193548387097
0.65,0.47,0.5809677419354838
0.74,0.48,0.6538709677419354
0.82,0.51,0.7238709677419354
0.86,0.56,0.77
0.89,0.6,0.7948387096774193
0.9,0.64,0.8170967741935486
0.92,0.65,0.8354838709677417
0.92,0.65,0.8319354838709676
0.91,0.63,0.8183870967741934
0.88,0.61,0.8006451612903224
0.88,0.6,0.7909677419354842
0.86,0.61,0.777741935483871
0.85,0.62,0.7732258064516125
0.84,0.63,0.7674193548387095
0.83,0.62,0.756774193548387
0.79,0.62,0.7306451612903226
0.76,0.6,0.7054838709677419
0.73,0.59,0.6858064516129033
0.69,0.55,0.6377419354838709
0.64,0.52,0.5951612903225806
