Max,Min,Mean
0.527,0.045,0.26193548387096777
0.534,0.054,0.26319354838709685
0.556,0.045,0.2693225806451613
0.55,0.054,0.2726774193548387
0.553,0.061,0.2618064516129033
0.572,0.047,0.24870967741935482
0.581,0.033,0.2563870967741936
0.646,0.029,0.2662903225806451
0.621,0.027,0.2770322580645161
0.644,0.036,0.2859354838709678
0.644,0.014,0.29390322580645156
0.645,0.015,0.3010322580645162
0.646,0.022,0.3035806451612903
0.645,0.021,0.301741935483871
0.63,0.023,0.29219354838709677
0.603,0.037,0.276
0.58,0.037,0.25974193548387103
0.553,0.033,0.24029032258064512
0.526,0.045,0.2392258064516129
0.509,0.049,0.24964516129032255
0.484,0.049,0.2556451612903226
0.54,0.048,0.26070967741935486
0.491,0.049,0.2613225806451613
0.496,0.054,0.25725806451612904
