Max,Min,Mean
0.64,0.5,0.5820000000000001
0.63,0.51,0.57
0.63,0.48,0.5689999999999998
0.64,0.5,0.5796666666666668
0.69,0.49,0.6163333333333333
0.81,0.5,0.6956666666666665
0.87,0.52,0.7473333333333333
0.9,0.57,0.7859999999999999
0.9,0.61,0.8046666666666666
0.92,0.64,0.8229999999999998
0.94,0.66,0.8373333333333335
0.94,0.66,0.8350000000000001
0.93,0.64,0.8220000000000002
0.92,0.62,0.8063333333333333
0.9,0.61,0.7950000000000002
0.88,0.61,0.7793333333333334
0.88,0.64,0.7780000000000001
0.87,0.64,0.7819999999999998
0.88,0.65,0.7896666666666668
0.85,0.67,0.7766666666666667
0.8,0.63,0.7303333333333334
0.74,0.6,0.6853333333333332
0.69,0.56,0.6373333333333332
0.65,0.54,0.603
