Max,Min,Mean
0.63,0.49,0.5680000000000001
0.61,0.49,0.5556666666666668
0.62,0.48,0.56
0.64,0.48,0.5723333333333332
0.68,0.48,0.6080000000000001
0.78,0.48,0.677
0.85,0.52,0.7309999999999999
0.88,0.56,0.7736666666666667
0.89,0.6,0.7899999999999999
0.92,0.63,0.8073333333333331
0.94,0.65,0.8196666666666667
0.92,0.64,0.8126666666666668
0.92,0.61,0.7966666666666666
0.9,0.59,0.7796666666666666
0.89,0.58,0.7656666666666668
0.87,0.58,0.7536666666666668
0.86,0.6,0.7540000000000002
0.85,0.62,0.7566666666666667
0.85,0.63,0.7583333333333333
0.84,0.64,0.7536666666666666
0.8,0.63,0.7300000000000001
0.75,0.61,0.6869999999999999
0.7,0.57,0.6343333333333334
0.66,0.52,0.5926666666666665
