Max,Min,Mean
0.52,0.452,0.48748387096774193
0.508,0.443,0.47725806451612907
0.506,0.442,0.474516129032258
0.507,0.429,0.473225806451613
0.531,0.426,0.4820322580645161
0.61,0.439,0.5345806451612904
0.702,0.472,0.603967741935484
0.753,0.52,0.655
0.766,0.555,0.6835161290322581
0.792,0.579,0.7041612903225803
0.794,0.582,0.7062903225806452
0.786,0.585,0.6990322580645161
0.784,0.579,0.6971935483870967
0.77,0.574,0.6852903225806452
0.747,0.57,0.6707741935483871
0.737,0.575,0.6678064516129034
0.759,0.607,0.6908387096774192
0.742,0.62,0.6827096774193548
0.705,0.588,0.6514193548387098
0.679,0.557,0.6190645161290322
0.635,0.539,0.5931612903225807
0.621,0.533,0.5796451612903226
0.584,0.504,0.545258064516129
0.542,0.472,0.5093548387096773
