Max,Min,Mean
0.739,0.048,0.2846129032258064
0.724,0.034,0.2802580645161291
0.688,0.042,0.27580645161290324
0.66,0.018,0.2708709677419354
0.684,0.004,0.262
0.674,0.009,0.24509677419354844
0.773,0.009,0.21961290322580646
0.676,0.003,0.20929032258064514
0.521,0.011,0.19
0.491,0.009,0.17412903225806453
0.5,0.006,0.1732580645161291
0.524,0.004,0.18580645161290318
0.577,0.023,0.20570967741935492
0.63,0.03,0.23038709677419353
0.666,0.047,0.25306451612903225
0.695,0.06,0.27016129032258057
0.668,0.065,0.27999999999999997
0.662,0.065,0.28196774193548396
0.631,0.06,0.27738709677419354
0.612,0.051,0.29712903225806453
0.663,0.047,0.3194193548387097
0.642,0.069,0.3168387096774194
0.622,0.047,0.3050645161290323
0.676,0.062,0.29338709677419356
