Max,Min,Mean
0.601,0.533,0.574967741935484
0.58,0.511,0.5519032258064515
0.57,0.5,0.5419032258064517
0.568,0.493,0.5380645161290324
0.577,0.492,0.5448709677419356
0.626,0.491,0.5803548387096775
0.688,0.487,0.6256451612903224
0.75,0.515,0.6770645161290324
0.776,0.559,0.7133870967741935
0.783,0.598,0.7327741935483869
0.794,0.615,0.7433870967741936
0.8,0.622,0.750258064516129
0.797,0.63,0.7497096774193548
0.774,0.619,0.7293870967741934
0.761,0.587,0.7085161290322579
0.757,0.571,0.6973548387096774
0.742,0.563,0.691516129032258
0.742,0.565,0.6832258064516128
0.73,0.577,0.6839677419354839
0.747,0.608,0.6994193548387098
0.785,0.649,0.7303870967741934
0.744,0.648,0.7048709677419354
0.678,0.61,0.6503548387096777
0.64,0.572,0.6115161290322579
