Max,Min,Mean
0.53,0.027,0.20687096774193553
0.49,0.029,0.19851612903225807
0.488,0.029,0.1948064516129033
0.443,0.025,0.19293548387096773
0.454,0.021,0.19119354838709682
0.449,0.017,0.1908064516129032
0.444,0.016,0.19564516129032258
0.464,0.017,0.2000322580645161
0.491,0.019,0.192
0.471,0.014,0.18525806451612906
0.461,0.011,0.18254838709677418
0.463,0.012,0.18745161290322584
0.488,0.017,0.18361290322580645
0.483,0.022,0.18300000000000002
0.442,0.035,0.1969677419354839
0.425,0.034,0.22635483870967743
0.491,0.027,0.2502903225806451
0.523,0.022,0.2545806451612903
0.58,0.019,0.255
0.605,0.019,0.25309677419354837
0.51,0.038,0.24393548387096778
0.494,0.032,0.2325483870967742
0.454,0.029,0.2220645161290323
0.519,0.027,0.2136129032258065
