Max,Min,Mean
0.763,0.05,0.42303333333333343
0.763,0.064,0.42336666666666667
0.748,0.073,0.4253
0.755,0.093,0.4287000000000001
0.757,0.112,0.4338999999999999
0.762,0.118,0.4361666666666667
0.766,0.107,0.4402333333333333
0.729,0.087,0.4340666666666667
0.73,0.063,0.4256666666666667
0.75,0.046,0.42386666666666656
0.762,0.053,0.42433333333333334
0.774,0.062,0.4242666666666667
0.732,0.052,0.4205333333333333
0.731,0.047,0.4261
0.762,0.052,0.44703333333333334
0.784,0.053,0.4622666666666666
0.786,0.045,0.46456666666666685
0.778,0.035,0.4635333333333333
0.768,0.027,0.46046666666666675
0.768,0.019,0.45333333333333325
0.782,0.01,0.4488
0.808,0.006,0.4431999999999999
0.784,0.009,0.44136666666666674
0.763,0.026,0.43616666666666676
