Max,Min,Mean
0.634,0.095,0.37393548387096776
0.643,0.08,0.3806129032258065
0.644,0.069,0.38306451612903225
0.639,0.063,0.3763870967741935
0.668,0.064,0.3652580645161291
0.676,0.058,0.34283870967741936
0.741,0.057,0.3507096774193547
0.815,0.053,0.38125806451612904
0.84,0.048,0.4019999999999999
0.837,0.049,0.41525806451612907
0.834,0.041,0.4213225806451614
0.826,0.035,0.42474193548387096
0.813,0.039,0.4271290322580644
0.829,0.047,0.4285483870967742
0.829,0.032,0.42587096774193556
0.782,0.03,0.41109677419354834
0.811,0.045,0.3863870967741936
0.792,0.034,0.3639032258064516
0.695,0.041,0.35874193548387107
0.682,0.089,0.3637096774193548
0.713,0.102,0.3642258064516129
0.72,0.113,0.3658709677419354
0.71,0.116,0.36841935483870963
0.652,0.109,0.37145161290322587
