Max,Min,Mean
0.651,0.56,0.6151333333333334
0.625,0.537,0.5904
0.614,0.526,0.5787666666666667
0.605,0.516,0.5721999999999999
0.615,0.512,0.5766666666666668
0.656,0.517,0.6125666666666665
0.738,0.527,0.6668333333333333
0.773,0.529,0.6952666666666667
0.815,0.574,0.7353333333333334
0.843,0.612,0.7633666666666665
0.861,0.629,0.7825
0.884,0.645,0.8011333333333334
0.891,0.656,0.8119333333333331
0.878,0.657,0.7993000000000001
0.868,0.632,0.7835333333333334
0.865,0.615,0.7768333333333332
0.859,0.607,0.7725333333333333
0.843,0.63,0.7605333333333333
0.828,0.622,0.7542333333333334
0.851,0.681,0.7814333333333335
0.849,0.697,0.7914333333333333
0.776,0.663,0.7322666666666667
0.717,0.623,0.6788333333333334
0.685,0.589,0.6451999999999998
