Max,Min,Mean
0.73,0.56,0.6593548387096774
0.69,0.55,0.6325806451612903
0.67,0.54,0.6216129032258064
0.68,0.53,0.6225806451612902
0.69,0.54,0.6351612903225808
0.73,0.55,0.6648387096774193
0.83,0.55,0.7348387096774192
0.92,0.55,0.7996774193548387
0.96,0.58,0.8335483870967741
0.96,0.64,0.8500000000000003
0.98,0.68,0.867741935483871
0.99,0.72,0.8809677419354839
0.99,0.72,0.8793548387096777
0.97,0.7,0.8648387096774195
0.96,0.68,0.8487096774193549
0.95,0.67,0.8403225806451613
0.94,0.69,0.8441935483870968
0.98,0.74,0.8819354838709678
0.98,0.76,0.8854838709677418
0.96,0.74,0.863548387096774
0.9,0.71,0.8187096774193547
0.85,0.67,0.7783870967741936
0.82,0.66,0.7548387096774192
0.77,0.62,0.705483870967742
