Max,Min,Mean
0.258,0.046,0.14300000000000004
0.248,0.049,0.13803333333333334
0.28,0.052,0.13376666666666664
0.319,0.053,0.13026666666666667
0.338,0.053,0.12773333333333334
0.329,0.041,0.11916666666666667
0.312,0.017,0.09659999999999999
0.394,0.011,0.09839999999999997
0.508,0.009,0.11746666666666665
0.55,0.01,0.12736666666666668
0.532,0.012,0.13086666666666666
0.473,0.013,0.13313333333333335
0.434,0.016,0.13623333333333335
0.436,0.015,0.13840000000000002
0.407,0.008,0.1321
0.36,0.006,0.1192
0.307,0.01,0.11449999999999999
0.311,0.006,0.13343333333333332
0.292,0.005,0.1516333333333333
0.292,0.008,0.15816666666666668
0.352,0.015,0.16136666666666663
0.355,0.02,0.15899999999999995
0.305,0.03,0.1527666666666666
0.288,0.036,0.14473333333333332
