Max,Min,Mean
0.613,0.499,0.5422333333333333
0.605,0.492,0.5325666666666666
0.609,0.491,0.5347666666666667
0.622,0.489,0.5452333333333333
0.671,0.501,0.583
0.781,0.538,0.6782
0.9,0.58,0.7705666666666666
0.937,0.629,0.8025000000000002
0.941,0.661,0.8125666666666667
0.944,0.677,0.8264666666666666
0.926,0.678,0.8197333333333332
0.917,0.671,0.8050666666666666
0.915,0.661,0.8005333333333334
0.902,0.66,0.7922333333333333
0.894,0.665,0.7865666666666666
0.94,0.709,0.8274333333333336
0.992,0.797,0.8904666666666666
0.946,0.767,0.8561999999999999
0.89,0.709,0.7987666666666666
0.837,0.669,0.7491666666666668
0.79,0.629,0.7010666666666666
0.721,0.584,0.6481
0.663,0.544,0.5980666666666667
0.638,0.514,0.5641999999999999
