Max,Min,Mean
0.753,0.644,0.7017142857142856
0.691,0.599,0.6504285714285715
0.654,0.57,0.6175357142857144
0.639,0.561,0.6042500000000001
0.635,0.552,0.5996428571428571
0.65,0.553,0.6114285714285714
0.72,0.562,0.6647857142857143
0.849,0.579,0.7560714285714285
0.925,0.599,0.8123571428571428
0.962,0.66,0.8572500000000002
0.978,0.709,0.8810714285714286
0.968,0.722,0.8819999999999998
0.961,0.708,0.8727857142857143
0.957,0.71,0.8698214285714286
0.923,0.702,0.8445714285714284
0.912,0.671,0.8249999999999998
0.911,0.65,0.81375
0.911,0.643,0.8112500000000001
0.925,0.671,0.8257857142857145
0.982,0.747,0.8862500000000002
0.998,0.79,0.9070000000000001
0.968,0.788,0.892892857142857
0.905,0.758,0.8361071428571428
0.811,0.703,0.7616071428571429
