Max,Min,Mean
0.672,0.591,0.6391612903225806
0.641,0.563,0.61
0.624,0.546,0.5947096774193548
0.62,0.535,0.5869032258064517
0.626,0.529,0.5907741935483871
0.665,0.526,0.620709677419355
0.722,0.519,0.6580967741935484
0.776,0.546,0.7075161290322579
0.834,0.587,0.7608709677419354
0.865,0.628,0.796774193548387
0.885,0.655,0.8183870967741937
0.91,0.674,0.838516129032258
0.923,0.687,0.8493870967741936
0.911,0.692,0.8381290322580646
0.897,0.672,0.821225806451613
0.894,0.657,0.8145161290322581
0.892,0.648,0.8107419354838709
0.866,0.643,0.799225806451613
0.859,0.652,0.7903225806451615
0.841,0.664,0.7807741935483873
0.829,0.684,0.7798064516129032
0.812,0.708,0.7707419354838708
0.754,0.67,0.7203548387096774
0.713,0.626,0.6825161290322579
