Max,Min,Mean
0.429,0.015,0.19293333333333332
0.516,0.01,0.1895333333333333
0.558,0.008,0.18506666666666666
0.55,0.007,0.1782666666666667
0.54,0.005,0.1688333333333333
0.547,0.009,0.16056666666666666
0.531,0.009,0.14553333333333332
0.441,0.003,0.12026666666666666
0.525,0.002,0.13853333333333331
0.534,0.007,0.15636666666666663
0.548,0.006,0.17273333333333332
0.573,0.011,0.18989999999999999
0.605,0.014,0.20883333333333332
0.623,0.02,0.2290333333333333
0.619,0.027,0.24576666666666672
0.612,0.041,0.25476666666666664
0.581,0.063,0.2534666666666667
0.513,0.067,0.2420666666666667
0.501,0.048,0.2390333333333334
0.525,0.014,0.24933333333333332
0.545,0.017,0.24630000000000007
0.498,0.016,0.23089999999999997
0.494,0.017,0.21663333333333326
0.516,0.012,0.20903333333333332
