Max,Min,Mean
0.65,0.568,0.6104642857142857
0.634,0.551,0.5921785714285714
0.628,0.543,0.5844642857142857
0.63,0.54,0.5857857142857144
0.644,0.547,0.5969285714285714
0.69,0.557,0.6318571428571429
0.809,0.575,0.7198928571428572
0.925,0.627,0.8123571428571429
0.952,0.681,0.8513214285714287
0.958,0.717,0.863035714285714
0.961,0.733,0.8715714285714287
0.946,0.713,0.8613214285714287
0.923,0.702,0.8426071428571429
0.92,0.695,0.8370357142857144
0.933,0.697,0.8271071428571427
0.901,0.697,0.8101071428571428
0.908,0.718,0.8212857142857144
0.98,0.811,0.899392857142857
0.985,0.826,0.9065357142857142
0.93,0.768,0.849357142857143
0.881,0.719,0.7954642857142857
0.83,0.677,0.7468214285714286
0.779,0.635,0.6953214285714285
0.717,0.597,0.6468214285714284
