Max,Min,Mean
0.876,0.191,0.6180645161290323
0.868,0.25,0.6120967741935485
0.873,0.261,0.6128709677419356
0.867,0.259,0.6169677419354838
0.875,0.234,0.621774193548387
0.882,0.207,0.632258064516129
0.89,0.218,0.6406451612903223
0.886,0.243,0.6490322580645163
0.874,0.265,0.6556129032258063
0.862,0.248,0.6618387096774193
0.852,0.21,0.6558064516129032
0.862,0.226,0.6445161290322582
0.87,0.259,0.6330645161290323
0.915,0.249,0.623516129032258
0.938,0.212,0.6198709677419355
0.938,0.203,0.6222258064516131
0.937,0.225,0.6258709677419356
0.928,0.264,0.6320322580645162
0.92,0.231,0.6342580645161292
0.928,0.227,0.6320967741935485
0.924,0.237,0.6288064516129032
0.921,0.237,0.6262903225806451
0.917,0.248,0.6224193548387095
0.908,0.245,0.6206451612903225
