Max,Min,Mean
0.515,0.428,0.4735161290322582
0.504,0.419,0.46396774193548385
0.506,0.418,0.4630967741935484
0.515,0.417,0.47041935483870956
0.536,0.423,0.4940967741935484
0.614,0.425,0.5581290322580645
0.71,0.466,0.6370322580645162
0.758,0.515,0.6850967741935484
0.781,0.554,0.7066129032258064
0.792,0.573,0.7260967741935483
0.801,0.581,0.7265161290322582
0.795,0.582,0.7166774193548389
0.797,0.581,0.7169354838709677
0.788,0.573,0.7059032258064516
0.766,0.566,0.6880645161290324
0.745,0.581,0.6866129032258065
0.784,0.626,0.7160645161290324
0.761,0.628,0.7049032258064516
0.72,0.588,0.6653870967741936
0.694,0.563,0.6341290322580645
0.659,0.553,0.6164516129032257
0.63,0.516,0.575483870967742
0.578,0.482,0.527290322580645
0.535,0.447,0.4926451612903225
