Max,Min,Mean
0.52,0.035,0.25045161290322576
0.54,0.054,0.24638709677419357
0.615,0.035,0.2528387096774193
0.449,0.034,0.244516129032258
0.457,0.044,0.21641935483870964
0.434,0.034,0.19370967741935488
0.426,0.012,0.19983870967741935
0.469,0.02,0.22138709677419352
0.54,0.021,0.24570967741935487
0.633,0.021,0.26261290322580644
0.712,0.025,0.2771935483870967
0.757,0.031,0.29035483870967743
0.774,0.04,0.2977096774193549
0.762,0.039,0.29687096774193544
0.741,0.034,0.29132258064516137
0.672,0.031,0.28416129032258064
0.642,0.03,0.27467741935483875
0.619,0.033,0.2647419354838709
0.606,0.056,0.2647741935483871
0.604,0.049,0.27441935483870966
0.586,0.066,0.2813548387096774
0.567,0.061,0.27703225806451615
0.556,0.048,0.2704838709677419
0.541,0.034,0.26138709677419353
