Max,Min,Mean
0.614,0.539,0.5833870967741935
0.594,0.512,0.5629032258064516
0.59,0.493,0.5515806451612905
0.593,0.497,0.5519677419354839
0.605,0.512,0.5624516129032258
0.653,0.527,0.5972903225806452
0.771,0.554,0.6835806451612901
0.899,0.597,0.7825806451612902
0.944,0.634,0.8267419354838711
0.94,0.646,0.8366774193548387
0.936,0.66,0.853032258064516
0.932,0.665,0.8489032258064515
0.909,0.662,0.8330322580645161
0.912,0.651,0.8295806451612902
0.895,0.659,0.819741935483871
0.881,0.658,0.8110967741935484
0.91,0.702,0.8447741935483873
0.976,0.793,0.9141612903225806
0.944,0.772,0.882774193548387
0.881,0.722,0.8226451612903225
0.825,0.684,0.7683870967741936
0.769,0.644,0.7203870967741935
0.705,0.604,0.6670967741935484
0.649,0.566,0.6183548387096774
