Max,Min,Mean
0.518,0.443,0.4766333333333333
0.503,0.431,0.46716666666666656
0.505,0.428,0.4646666666666667
0.518,0.428,0.47233333333333327
0.565,0.437,0.5059333333333333
0.663,0.453,0.5809
0.774,0.491,0.6526
0.803,0.542,0.6957666666666668
0.806,0.576,0.7141000000000001
0.824,0.591,0.7295333333333333
0.818,0.601,0.7293000000000001
0.804,0.597,0.7189999999999999
0.808,0.589,0.7190666666666669
0.793,0.58,0.7052999999999998
0.777,0.578,0.6881333333333334
0.773,0.593,0.6909
0.803,0.635,0.7269
0.796,0.635,0.7179333333333332
0.773,0.608,0.6926333333333332
0.746,0.59,0.6727333333333334
0.692,0.565,0.6290999999999999
0.632,0.525,0.5766666666666667
0.567,0.482,0.5272666666666668
0.535,0.461,0.49423333333333336
