Max,Min,Mean
0.718,0.028,0.39409677419354844
0.75,0.051,0.38496774193548383
0.771,0.068,0.3756451612903226
0.754,0.058,0.36358064516129035
0.777,0.071,0.35022580645161283
0.768,0.035,0.3407096774193548
0.761,0.025,0.33116129032258057
0.773,0.027,0.32748387096774195
0.772,0.027,0.32122580645161297
0.742,0.019,0.31858064516129037
0.802,0.017,0.34458064516129033
0.881,0.038,0.38883870967741935
0.931,0.015,0.4317419354838709
0.944,0.012,0.4526774193548388
0.938,0.015,0.4543225806451613
0.947,0.022,0.44058064516129036
0.946,0.058,0.41396774193548386
0.896,0.051,0.42406451612903234
0.886,0.035,0.4315483870967741
0.868,0.04,0.43909677419354837
0.823,0.06,0.44170967741935485
0.775,0.034,0.43312903225806454
0.717,0.011,0.4194193548387097
0.709,0.06,0.4113870967741935
