Max,Min,Mean
0.652,0.073,0.37183333333333324
0.655,0.093,0.3641333333333334
0.648,0.105,0.358
0.61,0.094,0.35250000000000004
0.618,0.084,0.34396666666666675
0.645,0.068,0.32193333333333335
0.742,0.039,0.31673333333333326
0.834,0.028,0.33659999999999995
0.852,0.035,0.36463333333333325
0.87,0.043,0.38539999999999996
0.883,0.053,0.3983
0.871,0.053,0.40966666666666673
0.885,0.049,0.4137
0.879,0.044,0.411
0.869,0.045,0.4032999999999999
0.849,0.049,0.392
0.8,0.062,0.36749999999999994
0.729,0.091,0.35676666666666657
0.697,0.11,0.3729000000000001
0.661,0.117,0.3882333333333332
0.691,0.117,0.3971333333333334
0.694,0.107,0.3945666666666667
0.685,0.085,0.38926666666666665
0.649,0.07,0.3846333333333334
