Max,Min,Mean
0.532,0.46,0.49319354838709684
0.516,0.445,0.48277419354838713
0.517,0.434,0.48180645161290314
0.521,0.436,0.48500000000000004
0.549,0.429,0.5027096774193549
0.638,0.45,0.5722580645161292
0.735,0.494,0.6524516129032256
0.781,0.554,0.700741935483871
0.793,0.582,0.7157096774193548
0.807,0.601,0.7304838709677416
0.82,0.602,0.7316129032258063
0.812,0.594,0.721225806451613
0.823,0.589,0.7221612903225807
0.822,0.584,0.7106451612903226
0.804,0.574,0.6938709677419357
0.803,0.589,0.6928387096774193
0.826,0.623,0.7241290322580647
0.799,0.629,0.7154516129032259
0.753,0.605,0.6799032258064517
0.698,0.576,0.6462903225806451
0.677,0.567,0.6271612903225806
0.652,0.55,0.6007419354838711
0.599,0.513,0.5541935483870968
0.563,0.484,0.517774193548387
