Max,Min,Mean
0.388,0.018,0.1594666666666667
0.382,0.027,0.15080000000000002
0.353,0.036,0.14716666666666664
0.359,0.025,0.1421
0.325,0.018,0.13693333333333332
0.3,0.012,0.12256666666666666
0.391,0.012,0.11670000000000001
0.407,0.011,0.1405
0.635,0.012,0.1548333333333333
0.666,0.008,0.16206666666666664
0.658,0.005,0.16536666666666663
0.657,0.003,0.16836666666666664
0.682,0.004,0.17266666666666666
0.703,0.007,0.1755666666666666
0.684,0.004,0.1764333333333333
0.639,0.005,0.17289999999999997
0.519,0.008,0.1523666666666667
0.472,0.011,0.14553333333333335
0.41,0.014,0.16426666666666667
0.447,0.016,0.17643333333333333
0.439,0.016,0.17733333333333334
0.419,0.015,0.17586666666666667
0.41,0.014,0.17246666666666668
0.431,0.017,0.1690666666666667
