Max,Min,Mean
0.542,0.46,0.5022000000000001
0.539,0.453,0.49563333333333337
0.542,0.453,0.4964333333333332
0.554,0.457,0.5062333333333334
0.594,0.464,0.5369
0.692,0.482,0.6038333333333333
0.791,0.529,0.6823666666666668
0.817,0.582,0.7233333333333333
0.823,0.61,0.7303
0.832,0.619,0.7366
0.826,0.617,0.73
0.812,0.608,0.7174333333333334
0.815,0.595,0.7121333333333333
0.809,0.586,0.6975333333333334
0.794,0.581,0.6806
0.791,0.593,0.6842333333333334
0.815,0.639,0.7264
0.798,0.652,0.7205333333333332
0.755,0.624,0.6873999999999999
0.742,0.601,0.6704666666666667
0.714,0.595,0.6501666666666666
0.645,0.552,0.6000666666666665
0.604,0.511,0.552
0.564,0.478,0.5179666666666667
